source_variable,unit_measure,unit_measure_label,type,type_label,technology_domain,technology_domain_label,regional_patent_office,regional_patent_office_label,candidate_role,recommended_use,include,reason,coverage_checked,dataset_id,variable,total_rows,non_missing_observations,missing_observations,countries_total,countries_with_data,years_total,years_with_data,first_year,last_year
PT_INV.DEV.ENV_PAT._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,main_target_candidate,main outcome candidate,True,Preferred normalized target: environment-related technologies as a share of inventions.,True,oecd_patents_environment,env_patent_share_inventions,3538,3538,0,202,202,34,34,1990,2023
INV_PS.DEV.ENV_PAT._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,secondary_target,robustness outcome candidate,True,Size-normalized patent intensity candidate; useful robustness target.,True,oecd_patents_environment,env_patents_per_million,3528,3528,0,196,196,34,34,1990,2023
INV_PS.DEV.ADAPT._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_PS.DEV.BUILD._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_PS.DEV.ENE._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_PS.DEV.GHG._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_PS.DEV.GOODS._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_PS.DEV.ICT._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_PS.DEV.MAN._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,MAN,Environmental management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_PS.DEV.OCEAN._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
