panel_id,variable,label,lag_scheme,evidence_strength,v2_decision,decision_reason,rows,nonmissing_rows,missing_rows,nonmissing_countries,complete_all_rows,complete_without_variable_rows,gain_if_removed,share_nonmissing
main,gdp_constant_2015_usd,"GDP, constant 2015 US dollars",lag1,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2470,33,136,944,944,0,0.9868158210147823
main,renewable_energy_share,Renewable energy share,lag1,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2406,97,138,944,944,0,0.961246504194966
main,wgi_regulatory_quality,WGI Regulatory Quality,lag1,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2327,176,137,944,1012,68,0.9296843787455054
main,co2_per_capita_ar5,"CO2 per capita, AR5 source",lag1,weak_to_cautionary,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2473,30,136,944,955,11,0.9880143827407112
main,fdi_net_inflows,FDI net inflows,lag1,moderate_to_weak,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2443,60,135,944,944,0,0.9760287654814223
main,tertiary_enrollment,Tertiary enrollment,lag1,moderate_to_weak,move_to_robustness_exploratory,"Tertiary enrollment is a broad human-capital proxy. The direct green-patent literature is stronger for R&D expenditure, researchers, knowledge stocks, scientific output, and university quality, and this variable materially reduces complete-case coverage.",2503,1903,600,129,944,1235,291,0.7602876548142229
main,env_technology_rta,Environmental technology RTA index,lag1,strong_predictive_baseline,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2213,290,127,944,1049,105,0.8841390331602077
main,scientific_journal_articles,Scientific journal articles,lag1,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2469,34,136,944,957,13,0.9864163004394726
main,trade_openness,Trade openness,lag1,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2401,102,132,944,967,23,0.9592489013184179
main,inflation,Inflation,lag1,moderate_to_weak_control,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2361,142,133,944,976,32,0.9432680783060328
main,fossil_energy_share,Fossil energy share,lag1,weak_to_cautionary,move_to_robustness_exploratory,"Literature support is indirect and sign-ambiguous: fossil dependence can proxy transition pressure or lock-in, while stronger papers use energy prices, fuel prices, carbon prices, or policy incentives. The variable also creates the largest complete-case sample loss after source-quality correction.",2503,1707,796,136,944,1456,512,0.6819816220535357
main,gdp_constant_2015_usd,"GDP, constant 2015 US dollars",lag1_3_mean,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2470,33,136,670,670,0,0.9868158210147823
main,renewable_energy_share,Renewable energy share,lag1_3_mean,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2406,97,138,670,670,0,0.961246504194966
main,wgi_regulatory_quality,WGI Regulatory Quality,lag1_3_mean,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,1981,522,137,670,763,93,0.7914502596883739
main,co2_per_capita_ar5,"CO2 per capita, AR5 source",lag1_3_mean,weak_to_cautionary,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2473,30,136,670,678,8,0.9880143827407112
main,fdi_net_inflows,FDI net inflows,lag1_3_mean,moderate_to_weak,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2439,64,135,670,670,0,0.9744306831801838
main,tertiary_enrollment,Tertiary enrollment,lag1_3_mean,moderate_to_weak,move_to_robustness_exploratory,"Tertiary enrollment is a broad human-capital proxy. The direct green-patent literature is stronger for R&D expenditure, researchers, knowledge stocks, scientific output, and university quality, and this variable materially reduces complete-case coverage.",2503,1644,859,124,670,871,201,0.6568118258090292
main,env_technology_rta,Environmental technology RTA index,lag1_3_mean,strong_predictive_baseline,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,1959,544,106,670,774,104,0.7826608070315622
main,scientific_journal_articles,Scientific journal articles,lag1_3_mean,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2469,34,136,670,681,11,0.9864163004394726
main,trade_openness,Trade openness,lag1_3_mean,moderate,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2394,109,132,670,682,12,0.9564522572912505
main,inflation,Inflation,lag1_3_mean,moderate_to_weak_control,retain_main_v2,Retained in the v2 main model after the pre-modeling literature and coverage reassessment.,2503,2348,155,133,670,692,22,0.9380743108270075
main,fossil_energy_share,Fossil energy share,lag1_3_mean,weak_to_cautionary,move_to_robustness_exploratory,"Literature support is indirect and sign-ambiguous: fossil dependence can proxy transition pressure or lock-in, while stronger papers use energy prices, fuel prices, carbon prices, or policy incentives. The variable also creates the largest complete-case sample loss after source-quality correction.",2503,1670,833,134,670,1124,454,0.6671993607670795
